ccaa_iso,fecha,num_casos
ES-CM,2020-03-10,269
ES-CN,2020-03-10,50
ES-CT,2020-03-10,871
ES-EX,2020-03-10,36
ES-GA,2020-03-10,113
ES-IB,2020-03-10,36
ES-MC,2020-03-10,50
ES-MD,2020-03-10,2004
ES-ML,2020-03-10,5
ES-NC,2020-03-10,84
ES-PV,2020-03-10,231
ES-RI,2020-03-10,88
ES-VC,2020-03-10,279
ES-AN,2020-03-11,253
ES-AR,2020-03-11,64
ES-AS,2020-03-11,43
ES-CB,2020-03-11,17
ES-CE,2020-03-11,2
ES-CL,2020-03-11,228
ES-CM,2020-03-11,304
ES-CN,2020-03-11,59
ES-CT,2020-03-11,815
ES-EX,2020-03-11,59
ES-GA,2020-03-11,131
ES-IB,2020-03-11,42
ES-MC,2020-03-11,60
ES-MD,2020-03-11,1930
ES-ML,2020-03-11,4
ES-NC,2020-03-11,108
ES-PV,2020-03-11,237
ES-RI,2020-03-11,69
ES-VC,2020-03-11,274
ES-AN,2020-03-12,303
ES-AR,2020-03-12,79
ES-AS,2020-03-12,57
ES-CB,2020-03-12,36
ES-CE,2020-03-12,1
ES-CL,2020-03-12,311
ES-CM,2020-03-12,416
ES-CN,2020-03-12,72
ES-CT,2020-03-12,1108
ES-EX,2020-03-12,72
ES-GA,2020-03-12,182
ES-IB,2020-03-12,41
ES-MC,2020-03-12,40
ES-MD,2020-03-12,2340
ES-ML,2020-03-12,2
ES-NC,2020-03-12,136
ES-PV,2020-03-12,276
ES-RI,2020-03-12,72
ES-VC,2020-03-12,366
ES-AN,2020-03-13,455
ES-AR,2020-03-13,116
ES-AS,2020-03-13,70
ES-CB,2020-03-13,54
ES-CE,2020-03-13,6
ES-CL,2020-03-13,451
ES-CM,2020-03-13,588
ES-CN,2020-03-13,107
ES-CT,2020-03-13,1491
ES-EX,2020-03-13,84
ES-GA,2020-03-13,246
ES-IB,2020-03-13,61
ES-MC,2020-03-13,74
ES-MD,2020-03-13,2800
ES-ML,2020-03-13,9
ES-NC,2020-03-13,135
ES-PV,2020-03-13,430
ES-RI,2020-03-13,108
ES-VC,2020-03-13,453
ES-AN,2020-03-14,394
ES-AR,2020-03-14,107
ES-AS,2020-03-14,81
ES-CB,2020-03-14,59
ES-CE,2020-03-14,3
ES-CL,2020-03-14,474
ES-CM,2020-03-14,548
ES-CN,2020-03-14,96
ES-CT,2020-03-14,1477
ES-EX,2020-03-14,71
ES-GA,2020-03-14,244
ES-IB,2020-03-14,69
ES-MC,2020-03-14,84
ES-MD,2020-03-14,2560
ES-ML,2020-03-14,3
ES-NC,2020-03-14,120
ES-PV,2020-03-14,428
ES-RI,2020-03-14,137
ES-VC,2020-03-14,463
ES-AN,2020-03-15,412
ES-AR,2020-03-15,126
ES-AS,2020-03-15,89
ES-CB,2020-03-15,68
ES-CE,2020-03-15,1
ES-CL,2020-03-15,481
ES-CM,2020-03-15,760
ES-CN,2020-03-15,99
ES-CT,2020-03-15,1502
ES-EX,2020-03-15,62
ES-GA,2020-03-15,273
ES-IB,2020-03-15,83
ES-MC,2020-03-15,75
ES-MD,2020-03-15,2600
ES-ML,2020-03-15,3
ES-NC,2020-03-15,157
ES-PV,2020-03-15,440
ES-RI,2020-03-15,111
ES-VC,2020-03-15,480
ES-AN,2020-03-16,545
ES-AR,2020-03-16,163
ES-AS,2020-03-16,105
ES-CB,2020-03-16,72
ES-CE,2020-03-16,5
ES-CL,2020-03-16,686
ES-CM,2020-03-16,761
ES-CN,2020-03-16,130
ES-CT,2020-03-16,1863
ES-EX,2020-03-16,96
ES-GA,2020-03-16,383
ES-IB,2020-03-16,85
ES-MC,2020-03-16,100
ES-MD,2020-03-16,2914
ES-ML,2020-03-16,4
ES-NC,2020-03-16,152
ES-PV,2020-03-16,592
ES-RI,2020-03-16,156
ES-VC,2020-03-16,592
ES-AN,2020-03-17,544
ES-AR,2020-03-17,157
ES-AS,2020-03-17,80
ES-CB,2020-03-17,75
ES-CE,2020-03-17,4
ES-CL,2020-03-17,665
ES-CM,2020-03-17,695
ES-CN,2020-03-17,101
ES-CT,2020-03-17,1652
ES-EX,2020-03-17,96
ES-GA,2020-03-17,328
ES-IB,2020-03-17,79
ES-MC,2020-03-17,79
ES-MD,2020-03-17,2891
ES-ML,2020-03-17,3
ES-NC,2020-03-17,171
ES-PV,2020-03-17,530
ES-RI,2020-03-17,120
ES-VC,2020-03-17,517
ES-AN,2020-03-18,502
ES-AR,2020-03-18,165
ES-AS,2020-03-18,91
ES-CB,2020-03-18,89
ES-CE,2020-03-18,4
ES-CL,2020-03-18,743
ES-CM,2020-03-18,723
ES-CN,2020-03-18,116
ES-CT,2020-03-18,1833
ES-EX,2020-03-18,108
ES-GA,2020-03-18,310
ES-IB,2020-03-18,81
ES-MC,2020-03-18,93
ES-MD,2020-03-18,2670
ES-ML,2020-03-18,6
ES-NC,2020-03-18,175
ES-PV,2020-03-18,549
ES-RI,2020-03-18,142
ES-VC,2020-03-18,499
ES-AN,2020-03-19,534
ES-AR,2020-03-19,165
ES-AS,2020-03-19,101
ES-CB,2020-03-19,178
ES-CE,2020-03-19,3
ES-CL,2020-03-19,806
ES-CM,2020-03-19,697
ES-CN,2020-03-19,75
ES-CT,2020-03-19,1721
ES-EX,2020-03-19,107
ES-GA,2020-03-19,290
ES-IB,2020-03-19,103
ES-MC,2020-03-19,81
ES-MD,2020-03-19,2498
ES-ML,2020-03-19,5
